id,rtti_name,short_name,vtable_rva
1,ActionStateUpdatedEvent,actionstateupdated,0x2a6e7e0
2,ActivateEvent,activate,0x2a6e7a8
3,ActivateDefaultStanceEvent,activatedefaultstance,0x2b37528
4,ActivateEffectEvent,activateeffect,0x2b580b0
5,ActivateSensorEvent,activatesensor,0x2a96a00
6,ActorTransferPodArrivedEvent,actortransferpodarrived,0x2b533e8
7,AddCollisionFilterEvent,addcollisionfilter,0x2b53500
8,AddMapBlipEvent,addmapblip,0x2b53a08
9,AddOxygenTimeEvent,addoxygentime,0x2b52d20
10,AddTempZoneEvent,addtempzone,0x2b576d8
11,AIOrderCancelledEvent,aiordercancelled,0x2b53fb8
12,AIOrderFinishedEvent,aiorderfinished,0x2b53f80
13,AIOrderParamEditedEvent,aiorderparamedited,0x2b54028
14,AIOrderReadyEvent,aiorderready,0x2b540d0
15,AIOrderSyncPointReleasedEvent,aiordersyncpointreleased,0x2b53ff0
16,AirlockCycledEvent,airlockcycled,0x2b52ce8
17,AlertLevelChangedEvent,alertlevelchanged,0x2b54fb0
18,AmmoChangedEvent,ammochanged,0x2b52ea8
19,AnimationTickedEvent,animationticked,0x2c2c9a0
20,AnimationTimerExpiredEvent,animationtimerexpired,0x2b5c968
21,ApproachingWaypointEvent,approachingwaypoint,0x2b560c0
22,AreaDamageTriggeredEvent,areadamagetriggered,0x2b52bd0
23,AreaDamageRangeRequestedEvent,areadamagerangerequested,0x2b5c428
24,ArrivedAtWaypointEvent,arrivedatwaypoint,0x2b5c658
25,AssignHiredActorEvent,assignhiredactor,0x2b52e00
26,AttachBombEvent,attachbomb,0x2b37608
27,AttachmentEnteredEvent,attachmententered,0x2b53928
28,AttachmentLeftEvent,attachmentleft,0x2b538f0
29,AttachShipToDockEvent,attachshiptodock,0x2b56b78
30,AttackedEvent,attacked,0x2b56408
31,AttackedComponentEvent,attackedcomponent,0x2b563d0
32,AttackStartedEvent,attackstarted,0x2b54488
33,AttackStoppedEvent,attackstopped,0x2b54450
34,AutoPilotDeactivatedEvent,autopilotdeactivated,0x2adfb98
35,AutoPilotTargetSetEvent,autopilottargetset,0x2b53c70
36,BecameFormationLeaderEvent,becameformationleader,0x2b5c5b0
37,BecameFormationWingmanEvent,becameformationwingman,0x2b5c578
38,BoardingOperationAbortedEvent,boardingoperationaborted,0x2b54370
39,BoardingOperationCreatedEvent,boardingoperationcreated,0x2b54300
40,BoardingOperationRemovedEvent,boardingoperationremoved,0x2b54258
41,BoardingOperationStartedEvent,boardingoperationstarted,0x2b543a8
42,BoardingPhaseChangedEvent,boardingphasechanged,0x2b54220
43,BoardingSupportFailedEvent,boardingsupportfailed,0x2b5c850
44,BoardingSupportRequestedEvent,boardingsupportrequested,0x2b54290
45,BoardingSupportSucceededEvent,boardingsupportsucceeded,0x2b5c818
46,BoardingTriggeredEvent,boardingtriggered,0x2b542c8
47,BombAttachedEvent,bombattached,0x2b58078
48,BombDefusedEvent,bombdefused,0x2b58040
49,BoostChargeFinishedEvent,boostchargefinished,0x2a96d48
50,BoostChargeStartedEvent,boostchargestarted,0x2a96e28
51,BoostChargeAbortedEvent,boostchargestopped,0x2a96d80
52,BoostDisabledEvent,boostdisabled,0x2b5caf0
53,BoostStartedEvent,booststarted,0x2a96db8
54,BoostStoppedEvent,booststopped,0x2a96df0
55,BuildCancelledEvent,buildcancelled,0x2b57d30
56,BuildFinishedEvent,buildfinished,0x2b57e10
57,BuildFinishedComponentsEvent,buildfinishedcomponents,0x2b57cf8
58,BuildPausedEvent,buildpaused,0x2b57d68
59,BuildPlotChangedEvent,buildplotchanged,0x2b57dd8
60,BuildResumedEvent,buildresumed,0x2b57cc0
61,BuildStartedEvent,buildstarted,0x2b57e48
62,BuildStorageMovedEvent,buildstoragemoved,0x2a6e8f8
63,BuildTaskAddedEvent,buildtaskadded,0x2b57550
64,BuildTaskLoadoutAppliedEvent,buildtaskloadoutapplied,0x2b57588
65,CameraEnteredEvent,cameraentered,0x2b5ca48
66,CameraLeftEvent,cameraleft,0x2b5ca10
67,CeaseFireEvent,ceasefire,0x2b56c58
68,ChangedAdjacentZoneAttentionEvent,changedadjacentzoneattention,0x2a6e930
69,ChangedAssignmentEvent,changedassignment,0x2b559f8
70,ChangedAttentionEvent,changedattention,0x2b54fe8
71,ChangedClusterEvent,changedcluster,0x2b56980
72,ChangeDefenceDroneModeEvent,changedefencedronemode,0x2b552c0
73,ChangedEnvironmentObjectEvent,changedenvironmentobject,0x2b56868
74,ChangedHiddenStateEvent,changedhiddenstate,0x2b55870
75,ChangedHighwaySectionEvent,changedhighwaysection,0x2ac5930
76,ChangedNameEvent,changedname,0x2b56830
77,ChangedObjectEvent,changedobject,0x2b566a8
78,ChangedOwnerEvent,changedowner,0x2b568d8
79,ChangedOwnershipContestedEvent,changedownershipcontested,0x2b56088
80,ChangedPlayerActivityEvent,changedplayeractivity,0x2af5f00
81,ChangedRoomEvent,changedroom,0x2b567c0
82,ChangedSceneEvent,changedscene,0x2b56948
83,ChangedSectorEvent,changedsector,0x2b569b8
84,ChangedStateEvent,changedstate,0x2b558a8
85,ChangedSubordinateGroupEvent,changedsubordinategroup,0x2b559c0
86,ChangedTrueOwnerEvent,changedtrueowner,0x2b568a0
87,ChangedZoneEvent,changedzone,0x2b56910
88,ChangeGeometryStateEvent,changegeometrystate,0x2b56e18
89,ChangeMiningDroneModeEvent,changeminingdronemode,0x2b551a8
90,ChangeMovementEvent,changemovement,0x2b56e88
91,ChangeRoomEvent,changeroom,0x2b57710
92,ChangeTransportDroneModeEvent,changetransportdronemode,0x2b55170
93,CharacterAnimationFinishedEvent,characteranimationfinished,0x2b57828
